ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
NASKEN10,Oki,Keana,Nasarawa,12181.2,9729.5,1862.1,6466.3,2501.9
TRSWKR05,Hospital,Wukari,Taraba,25608.5,27343.1,4845.0,36627.3,4488.5
NASKEN03,Amiri,Keana,Nasarawa,14489.6,9964.7,1920.4,5962.4,2931.4
NASKEN01,Agaza,Keana,Nasarawa,5896.1,6895.7,1325.0,5822.9,1123.0
ODSAKN10,Oke-Iju,Akure North,Ondo,4534.3,3577.8,465.6,11162.7,573.8
NISKHA06,Essa,Katcha,Niger,15292.8,15707.1,3184.4,20247.8,3044.6
40701,Dandume A,Dandume,Katsina,31851.3,55173.6,11456.3,56636.4,8615.3
43302,Daneji B,Sandamu,Katsina,14567.3,14321.1,2940.2,15817.4,3095.6
NASKEN08,Madaki,Keana,Nasarawa,10652.2,15647.0,2995.9,10141.6,2050.8
NASNBB10,Tudun-Adabu,Obi,Nasarawa,16841.8,11765.2,2336.7,6340.5,3618.1
NASNBB01,Adudu,Obi,Nasarawa,9367.4,8513.6,1691.0,4531.2,1833.1
ODSAKN07,Odo-Oja,Akure North,Ondo,379.4,151.1,19.8,872.8,48.2
KGSERE14,Okeri,Yagba West,Kogi,10208.6,23552.4,4159.0,4513.9,2406.3
NASNBB03,Daddare,Obi,Nasarawa,32630.7,37319.1,7408.7,20077.3,7793.4
NASNBB02,Agwatashi,Obi,Nasarawa,25056.7,29528.0,5862.7,18767.2,5103.0
NASNTT07,Shaffa-Abakpa,Toto,Nasarawa,14107.8,14146.0,2861.1,12703.1,2797.1
NASWAM05,Kwarra,Wamba,Nasarawa,11543.6,12229.7,2430.1,9918.6,2245.2
NASWAM06,Mangar,Wamba,Nasarawa,8091.9,7865.6,1511.6,6763.8,1516.8
NASWAM02,Gitta,Wamba,Nasarawa,9889.4,11805.7,2345.8,9659.1,1923.2
NASWAM07,Nakere,Wamba,Nasarawa,8379.3,8618.5,1712.5,7932.5,1628.7
NASWAM08,Wamba East,Wamba,Nasarawa,14012.5,10906.6,2167.2,9858.6,2839.1
NASWAM01,Arum,Wamba,Nasarawa,8788.8,10906.6,2167.2,9040.3,1708.2
NASWAM04,Konvah,Wamba,Nasarawa,9116.9,6016.2,1195.4,7043.3,1773.8
