ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
GMSDKU08,Waziri South,Dukku,Gombe,63608.6,69417.0,13835.2,79393.0,12434.6
GMSKWM09,Malam Sidi,Kwami,Gombe,29079.1,44205.5,8935.2,36321.1,5766.1
GMSAKK05,Kumo Central,Akko,Gombe,20286.5,22027.5,4322.6,75368.1,3895.7
GMSKLT08,Ture,Kaltungo,Gombe,16680.9,14713.2,2892.9,12787.1,3213.6
GMSAKK09,Pindiga,Akko,Gombe,27710.8,22726.6,4467.2,59276.3,5337.1
GMSFKY09,Tongo,Funakaye,Gombe,33483.8,23499.1,4377.8,30010.2,6099.3
GMSBLG02,Bangu,Balanga,Gombe,27614.8,22472.3,4533.4,42638.2,5465.5
GMSDKU10,Zange,Dukku,Gombe,42592.8,49120.9,9857.7,24259.1,8385.4
GMSFKY07,Ribadu,Funakaye,Gombe,40970.6,25550.8,4955.0,33248.8,7815.7
GMSYDB11,Zambuk / Kwali,Yamaltu/Deba,Gombe,31702.3,8951.2,1761.2,45685.6,6126.1
GMSSHM09,Lalaipido,Shomgom,Gombe,15703.2,15426.2,3107.3,12733.9,3095.4
GMSFKY08,Tilde / Bodor,Funakaye,Gombe,14073.6,12102.3,2254.6,19642.8,2563.8
GMSFKY01,Ashaka / Magaba,Funakaye,Gombe,37187.9,43945.3,8186.8,46053.0,6774.1
GMSSHM07,Kulishin,Shomgom,Gombe,22691.1,17955.2,3607.9,13978.4,4459.6
GMSYDB07,Kwadon / Liji / Kurba,Yamaltu/Deba,Gombe,158201.3,200672.0,37116.4,143770.5,28951.3
GMSNFD04,Birin Fulani East,Nafada,Gombe,8477.9,6952.2,1276.1,12410.8,1523.4
GMSYDB05,Jagali South,Yamaltu/Deba,Gombe,17546.8,30434.2,5987.9,45083.7,3390.7
GMSSHM05,Gundale,Shomgom,Gombe,6542.8,8773.6,1734.5,7736.6,1269.9
GMSFKY06,Kupto,Funakaye,Gombe,24382.4,20567.8,3831.7,20507.6,4441.5
GMSKWM10,Malleri,Kwami,Gombe,19001.9,18305.5,3686.4,16371.7,3750.5
GMSBLR04,Billiri North,Billiri,Gombe,18077.3,17551.0,3508.7,13222.8,3535.2
GMSFKY05,Jillahi,Funakaye,Gombe,25211.7,22136.8,4124.0,23736.8,4592.5
GMSGME11,Shamaki,Gombe,Gombe,41696.9,38087.2,7474.1,147846.2,8007.3
GMSNFD06,Gudukku,Nafada,Gombe,7115.5,8593.7,1554.6,6445.9,1261.7
GMSKWM06,Jurara,Kwami,Gombe,14442.7,13792.4,2787.8,13614.3,2863.9
GMSYDB03,Hinna,Yamaltu/Deba,Gombe,45170.6,60044.5,11813.7,76121.4,8728.6
GMSSHM03,Burak,Shomgom,Gombe,6122.5,7599.0,1527.5,6991.5,1204.8
GMSBLR06,Kalmai,Billiri,Gombe,14270.1,14508.0,2900.4,12931.9,2790.6
GMSDKU05,Lafiya Tale,Dukku,Gombe,8809.1,10819.0,2162.0,12987.1,1726.7
GMSYDB01,Deba,Yamaltu/Deba,Gombe,38802.0,36232.2,7128.7,55097.6,7496.8
GMSAKK11,Tumu,Akko,Gombe,14806.6,15260.8,2994.9,57004.4,2843.4
GMSSHM01,Bangunji,Shomgom,Gombe,15295.4,14099.5,2835.7,13745.6,3012.2
GMSBLR02,Banganje South,Billiri,Gombe,21935.2,25593.9,5116.6,17781.3,4289.7
GMSDKU01,Gombe Abba,Dukku,Gombe,23661.1,30005.0,5997.4,25459.2,4640.7
GMSNFD02,Barwo Winde,Nafada,Gombe,10868.7,10008.3,1810.5,13951.9,1927.2
GMSKWM02,Daban Fulani,Kwami,Gombe,14182.3,15963.8,3150.5,28090.6,2766.9
GMSDKU03,Jamari,Dukku,Gombe,44940.4,29986.0,5923.7,48893.6,8750.0
GMSKLT01,Awak,Kaltungo,Gombe,49847.3,50399.1,9865.7,61168.7,9555.9
GMSGME02,Bajoga,Gombe,Gombe,15523.2,13636.5,2676.0,50924.7,2981.0
GMSBLG09,Swa,Balanga,Gombe,38036.1,32869.8,6582.6,63696.3,7489.3
GMSAKK03,Kalshingi,Akko,Gombe,13888.9,10133.9,1988.6,66871.3,2667.2
GMSDKU07,Waziri North,Dukku,Gombe,36712.2,28547.3,5703.3,50141.8,7193.8
GMSBLG10,Talasse,Balanga,Gombe,28047.2,31066.7,6231.2,45058.0,5500.9
GMSKWM04,Dukul,Kwami,Gombe,58325.5,47669.2,9595.6,42749.2,11496.0
GMSNFD08,Nafada Central,Nafada,Gombe,40750.4,26223.8,4743.8,41894.1,7225.8
GMSBLG06,Kindiyo,Balanga,Gombe,18212.8,21076.0,4251.7,29460.2,3604.7
KN3809,Unguwa Uku Kauyen Alu,Tarauni,Kano,19135.1,14893.1,2753.2,68471.5,3571.9
KN1209,Sabon Gari West,Fagge,Kano,31029.9,23786.4,4636.2,24711.4,5659.5
